SL,Monomer 1,Monomer 2,Output_text,Group1,Group2,Temperature,Tg,Er,Prompt,Fixed Monomer 1,Fixed Monomer 2,Predicted Tg New,Predicted Er New,Difference Tg New,Difference Er New
1,Cc1cc(OCCOCC2CO2)ccc1OCCOCC4CO4,CC1(C)CC(N)CC(C)(CN)C1,"Based on your input, I designed monomers with the specified functionalities:
Monomer 1 with epoxy: Cc1cc(OCCOCC2CO2)ccc1OCCOCC4CO4
Monomer 2 with imine: CC1(C)CC(N)CC(C)(CN)C1",epoxy(C1OC1),imine(NC),0.3,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,Cc1cc(OCCOCC2CO2)ccc1OCCOCC4CO4,CC1(C)CC(N)CC(C)(CN)C1,,,,
2,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,"Here's a TSMP that includes the functional groups C1OC1 and NC, as requested:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N",epoxy(C1OC1),imine(NC),0.3,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,,,,
3,C1OC1COC3COC4C(OC2CO2)COC34,CC1(C)CC(N)CC(C)(CN)C1,"Here's a TSMP that includes the requested functional groups:
Monomer 1 (epoxy): C1OC1COC3COC4C(OC2CO2)COC34
Monomer 2 (imine): CC1(C)CC(N)CC(C)(CN)C1",epoxy(C1OC1),imine(NC),0.3,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,C1OC1COC3COC4C(OC2CO2)COC34,CC1(C)CC(N)CC(C)(CN)C1,,,,
4,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,"Based on your input, I designed monomers containing C1OC1 and NC groups:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN",epoxy(C1OC1),imine(NC),0.3,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,,,,
5,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,"Based on your input, I designed monomers containing C1OC1 and NC groups:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN",epoxy(C1OC1),imine(NC),0.3,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,,,,
6,Cc1cc(OCCOCC2CO2)ccc1OCCOCC4CO4,CC1(C)N(CCN(C)CC)CC(C)C(=O)N1CCN(CC)CC,"This monomer pair features the requested functional groups:
Monomer 1 with epoxy: Cc1cc(OCCOCC2CO2)ccc1OCCOCC4CO4
Monomer 2 with imine: CC1(C)N(CCN(C)CC)CC(C)C(=O)N1CCN(CC)CC",epoxy(C1OC1),imine(NC),0.5,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,Cc1cc(OCCOCC2CO2)ccc1OCCOCC4CO4,CC1(C)N(CCN(C)CC)CC(C)C(=O)N1CCN(CC)CC,,,,
7,Cc1ccc2cc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC2)c1Cc4c(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC3)c(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC3)c(Cc2ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC1)cc2,NCCNCCN,"Here's a group-compliant monomer pair:
Monomer 1 includes epoxy groups: Cc1ccc2cc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC2)c1Cc4c(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC3)c(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC3)c(Cc2ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC1)cc2
Monomer 2 includes imine groups: NCCNCCN",epoxy(C1OC1),imine(NC),0.5,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,Not found,Not found,,,,
8,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,"Here's a pair of monomers that include the specified functional groups:
Monomer 1 (contains C1OC1): CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2 (contains NC): CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N",epoxy(C1OC1),imine(NC),0.5,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,,,,
9,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CCC(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)N,"Here's a group-compliant monomer pair:
Monomer 1 includes C1OC1 groups: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2 includes NC groups: CCC(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)N",epoxy(C1OC1),imine(NC),0.5,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CCC(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)N,,,,
10,Cc1cc(OCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,"Here's a pair of monomers fulfilling the functional group criteria:
Monomer 1 with epoxy: Cc1cc(OCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",epoxy(C1OC1),imine(NC),0.5,,,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) in monomer1 and imine(NC) in monomer2.,Not found,Not found,,,,
