SL,SMILE1,SMILE2,Temperature,Prompt,Non_Reactive_groups,Source_File
1,C=Cc1ccccc1,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,1.3,Create a thermoset polymer with Tg around 140°C and Er near 80 MPa.,[],properties_generated_responses.json
2,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.3,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses.json
3,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C[NH+]1CCN(CC1)C2=C(C(=O)c3ccccc3C2=O)Cl,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses.json
4,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C[NH+]1CCN(CC1)C2=C(C(=O)c3ccccc3C2=O)Cl,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses.json
5,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,CC(=O)C(=Cc1ccc(cc1)S(=O)(=O)C)C(=O)C,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses.json
6,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.6,Create a thermoset polymer with Tg around 140°C and Er near 80 MPa.,[],properties_generated_responses.json
7,NCCOCCOCCN,CC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.6,Create a thermoset polymer with Tg around 140°C and Er near 80 MPa.,[],properties_generated_responses.json
8,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.6,Create a thermoset polymer with Tg around 140°C and Er near 80 MPa.,[],properties_generated_responses.json
9,C=Cc1cccc(C=C)c1,CCCCCCCCCN,2.0,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses.json
10,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,OCCOCCOCCOCCOC(=O)C(C)=O,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,[],properties_generated_responses.json
