SL,Monomer 1,Monomer 2,Output_text,Group1,Group2,Temperature,Tg,Er,Prompt
1,C1C(C(C1OCCO)OCCO)C2C1C(C2O)C1C(C1O)OCCO, NC(=N)C1=CC=C(C=C1C(=O)NCCN)C(=O)NCCN,"Here is a novel monomer pair for thermoset shape memory polymers (TSMPs):

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 3,4-epoxy-1,2-bis(2-hydroxyethyl)cyclopentane  
SMILES: C1C(C(C1OCCO)OCCO)C2C1C(C2O)C1C(C1O)OCCO

**Monomer 2 (Imine - NC):**  
Structure: N,N'-bis(2-aminoethyl)terephthalamide  
SMILES: NC(=N)C1=CC=C(C=C1C(=O)NCCN)C(=O)NCCN

These monomers are designed to provide robust crosslinking and suitable properties for TSMP applications.",epoxy(C1OC1),imine(NC),0.3,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
2,C1=CC=C(C=C1)C(C2(CO2)OCCOCC)OCCOCC,C1=CC=C(C=C1)C(=N)C(C2=CC=C(C=C2)C(=O)N)C(=N)C,"Here is a novel monomer pair suitable for a thermoset shape memory polymer (TSMP):

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 1,2-Bis(2,3-epoxypropyl)benzene  
SMILES: C1=CC=C(C=C1)C(C2(CO2)OCCOCC)OCCOCC

**Monomer 2 (Imine - NC):**  
Structure: 1,2-Bis(4-formylphenyl)ethylenediamine  
SMILES: C1=CC=C(C=C1)C(=N)C(C2=CC=C(C=C2)C(=O)N)C(=N)C

These monomers are designed to provide robust crosslinking through the formation of networks, leveraging the epoxy and imine functionalities.",epoxy(C1OC1),imine(NC),0.3,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
3,C1=CC=C(C=C1C(C2CO2)O)C(C2CO2)O,C1=CC=NC(=C1)C(C2=CC=NC(=C2)N)N,"Here is a novel monomer pair for your TSMP formulation:

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 1,2-bis(2,3-epoxypropyl)benzene  
SMILES: C1=CC=C(C=C1C(C2CO2)O)C(C2CO2)O

**Monomer 2 (Imine - NC):**  
Structure: N,N'-bis(2-pyridyl)ethylenediamine  
SMILES: C1=CC=NC(=C1)C(C2=CC=NC(=C2)N)N

These monomers are designed to provide robust crosslinking through the epoxy and imine functionalities, suitable for achieving the desired thermal and mechanical properties in thermoset shape memory polymers.",epoxy(C1OC1),imine(NC),0.3,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
4,C(C1CO1)C(C1CO1)c2ccccc2C(C1CO1)C(C1CO1),NC(c1ccc(NC=c2ccc(NC)c(c2)C)c1)=N,"Here is a novel monomer pair suitable for a thermoset shape memory polymer (TSMP):

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 1,2-bis(2,3-epoxypropyl)benzene  
SMILES: C(C1CO1)C(C1CO1)c2ccccc2C(C1CO1)C(C1CO1)

**Monomer 2 (Imine - NC):**  
Structure: N,N'-bis(4-aminobenzylidene)ethylenediamine  
SMILES: NC(c1ccc(NC=c2ccc(NC)c(c2)C)c1)=N

These monomers are designed to ensure robust crosslinking while providing the necessary functional groups for the desired properties in TSMP applications.",epoxy(C1OC1),imine(NC),0.3,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
5,C1=CC=C(C=C1)C(C2(CO2)OCC3(CO3)OCC4(CO4)O)C2(CO2)OCC3(CO3)O,NC(CCCN=C(C)C)CCN=C(C)C,"Here is a novel monomer pair suitable for thermoset shape memory polymers (TSMPs):

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 1,2-bis(2,3-epoxypropyl)benzene  
SMILES: C1=CC=C(C=C1)C(C2(CO2)OCC3(CO3)OCC4(CO4)O)C2(CO2)OCC3(CO3)O

**Monomer 2 (Imine - NC):**  
Structure: N,N'-bis(3-aminopropyl)ethylenediamine  
SMILES: NC(CCCN=C(C)C)CCN=C(C)C

These monomers are designed to provide robust crosslinking through their respective functionalities, allowing for the desired thermoset properties in the final polymer.",epoxy(C1OC1),imine(NC),0.3,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
6,C1=CC=C(C=C1C2(C(C2O1)C(C(C)O1)C)O1)C(C(C)O1)C)O1,C1=CC=NC(=C1)NCCN=C(C)C1=CC=NC(=C1)N,"Here is a suitable monomer pair for your TSMP formulation:

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 1,2-bis(2,3-epoxypropyl)benzene  
SMILES: C1=CC=C(C=C1C2(C(C2O1)C(C(C)O1)C)O1)C(C(C)O1)C)O1

**Monomer 2 (Imine - NC):**  
Structure: N,N'-bis(2-pyridyl)ethylenediamine  
SMILES: C1=CC=NC(=C1)NCCN=C(C)C1=CC=NC(=C1)N

These monomers are designed to provide robust crosslinking and shape memory properties in the final thermoset polymer.",epoxy(C1OC1),imine(NC),0.5,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
7,1=CC(C2=CC(C=C2)(C1)OCC1CO1)OCC1CO1,C1=CC(NC(C)C)C=C(C)C1=NC(C)C,"Here is a novel monomer pair suitable for thermoset shape memory polymers (TSMPs):

**Monomer 1 (Epoxy - C1OC1 groups):**  
**Structure:**  
Aromatic epoxy with two epoxy groups.  
**SMILES:**  
C1=CC(C2=CC(C=C2)(C1)OCC1CO1)OCC1CO1

**Monomer 2 (Imine - NC groups):**  
**Structure:**  
Aliphatic imine with two imine functionalities.  
**SMILES:**  
C1=CC(NC(C)C)C=C(C)C1=NC(C)C

These monomers are designed to provide robust crosslinking and achieve the desired mechanical properties for TSMPs.",epoxy(C1OC1),imine(NC),0.5,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
8,C1C(C(C2C1C(C2)O1C(C(C1)C)C1OCC1)O)C(C(C1OCC1)C)C)C,NC1=CC=C(C=C1C(=O)N=C(C2=CC=CC=C2)C(=O)N)C(=O)N,"Here is a suitable monomer pair for your TSMP formulation:

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 2,2-bis(3,4-epoxycyclohexyl)propane  
SMILES: C1C(C(C2C1C(C2)O1C(C(C1)C)C1OCC1)O)C(C(C1OCC1)C)C)C

**Monomer 2 (Imine - NC):**  
Structure: 4,4'-diaminobenzophenone imine  
SMILES: NC1=CC=C(C=C1C(=O)N=C(C2=CC=CC=C2)C(=O)N)C(=O)N

These monomers are designed to provide robust crosslinking capabilities while ensuring appropriate molecular weights and structures for optimal Tg and Er values in your TSMP application.",epoxy(C1OC1),imine(NC),0.5,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
9,C(C1CO1)C(C1CO1)C(C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(C1CO1)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(C1CO1)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C1=CC=C(C=C1)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(C1CO1)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=,N/A,"Here is a suitable monomer pair for your TSMP formulation:

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 4,4'-Bis(2,3-epoxypropyl)diphenyl sulfone  
SMILES: C(C1CO1)C(C1CO1)C(C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(C1CO1)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(C1CO1)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C1=CC=C(C=C1)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(C1CO1)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C1=CC=C(C=C1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=CC=C(C=C2)C(C1CO1)C(C2=",epoxy(C1OC1),imine(NC),0.5,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
10,C1CC(C(C1)OCCO)C2(C(C2)C1CO1)OCCO,NC(CN)C(=N)C(CN)C(CN),"Here is a suitable monomer pair for your TSMP formulation:

**Monomer 1 (Epoxy - C1OC1):**  
Structure: 3,4-Epoxy-1,2-bis(2-hydroxyethyl)cyclohexane  
SMILES: C1CC(C(C1)OCCO)C2(C(C2)C1CO1)OCCO

**Monomer 2 (Imine - NC):**  
Structure: N,N'-bis(2-aminoethyl)ethylenediamine  
SMILES: NC(CN)C(=N)C(CN)C(CN)C

These monomers are designed to provide effective crosslinking through their respective functional groups, ensuring robust network formation in the resulting thermoset shape memory polymer.",epoxy(C1OC1),imine(NC),0.5,100,40,"Generate two monomers for a TSMP, ensuring one includes epoxy(C1OC1) in monomer1 and the other includes imine(NC) in monomer2."
