SL,SMILE1,SMILE2,Reactive_groups
1,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCCC(C(=O)NSCC(=O)CCS)CC(N)C(=O)NSCC(=O)CCS,"['C=C', 'CCS']"
2,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CC(CNC)CC(C)(CN)CN,"['C1OC1', 'NC']"
3,CC(C)(c1ccc(OC2CO2)cc1)c4ccc(OC3CO3)cc4,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,"['C1OC1', 'NC']"
4,CC(C)(c2ccc(OCC1CO1)cc2)c6ccc(OCC5CO5)cc6,NCc1cccc(CN)c1,"['C1OC1', 'NC']"
5,O=c1ccc(=O)n1c5ccc(Cc4ccc(n3c(=O)ccc4=O)cc3)cc5,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,"['NC', 'C1OC1']"
6,CC(C)(c2ccc(OCC1CO1)cc2)c6ccc(OCC5CO5)cc6,CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,"['C1OC1', 'NC']"
7,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CC1(C)CC(N)COCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)NCC1(C),"['C1OC1', 'NC']"
8,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,NCC1CCCC(CN)C1,"['C1OC1', 'NC']"
9,Cc3cc(c2cc(C)c(OCC1CO1)c(C(N)=O)c2)cc(C(N)=O)c3OCC4CO4,NCc1cccc(CN)c1,"['C1OC1', 'NC']"
10,CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)C(C)(C)c6ccc(OCC5CO5)cc6,NCCCOCCOCCCN,"['C1OC1', 'NC']"
11,CC(C)(c4ccc(OSc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,NCCNCCN,"['C1OC1', 'NC']"
12,C(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,"['C1OC1', 'NC']"
13,C=Cn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,"['C=C', 'C=C(C=O)']"
14,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,"['C=C', 'CCS']"
15,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=CC)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,"['C=C', 'C=C(C=O)']"
16,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)C(C)(C)C1,"['C=C', 'CCS']"
17,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,"['NC', 'C1OC1']"
18,CC(C)(c4ccc(OCC(P)(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,"['C1OC1', 'NC']"
19,CCC(COC3CO3)CC(C)(COC2CO2)C(=O)OCC4CO4,NCCOCCOCCN,"['C1OC1', 'NC']"
20,CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,NCCNCCN(C)CCN(CCNCCN)CCN(CCN)CCN,"['C1OC1', 'NC']"
21,O=C(OCC1CO1)C4CC3OC3CC4C(=O)OCC2CO2,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,"['C1OC1', 'NC']"
