prompt,smile1,smile2,tg_actual,tg_predicted,er_actual,er_predicted,tg_error,er_error,model
"Create a thermoset polymer with Tg = 60°C, Er = 100 MPa, and monomers featuring vinyl(C=C) and vinyl(C=C) groups.",C=CCOCC(CO)(COCC=C)COCC=C,C=CCOCC(CO)CCOCC(CO)CCOCC(CO)CCOCC(CO)CCOCC(CO)CCOCC(CO)CCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC(CO)CCOCCOCC,60.0,352.94626,100.0,64.12246,292.9462585449219,-35.877540588378906,GPT4o
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,S(=O)(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)S(=O)(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)S(=O)(=O)OCCOCCO,150.0,348.3595,200.0,86.84604,198.3594970703125,-113.15396118164062,GPT4o
Create a thermoset polymer with Tg around 140°C and Er near 80 MPa.,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)COCCC(CO)(COCCC)CO,140.0,318.82486,80.0,52.83752,178.82485961914062,-27.162479400634766,GPT4o
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,C=CCOCC(CO)(COCC=C)COCC=C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,100.0,400.08765,100.0,66.99656,300.087646484375,-33.003440856933594,Llama32
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,C=CCOCC(CO)(COCC=C)COCC=C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,100.0,396.51562,100.0,66.759094,296.515625,-33.24090576171875,Llama32
Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCC(C)OCC(C)OCC(C)OCC(C)OCCOCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCC(C)OCC(C)OCC(C),60.0,387.30008,100.0,96.94728,327.3000793457031,-3.0527191162109375,Llama32
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 100 MPa that includes vinyl(C=C) and hydroxyl(=O) groups.,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C)OCCOCC(C),100.0,384.36014,100.0,83.520134,284.3601379394531,-16.47986602783203,Llama32
Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,C=CCOCC(CO)(COCC=C)COCC=C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,100.0,365.26376,100.0,62.51148,265.2637634277344,-37.488521575927734,Llama32
Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,150.0,314.52066,200.0,86.956085,164.52066040039062,-113.04391479492188,Llama32
Create a thermoset polymer with Tg around 40°C and Er near 80 MPa.,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,40.0,313.64038,80.0,21.987669,273.640380859375,-58.01233100891113,Llama32
