SL,File_Source,Row_Original,Monomer 1,Monomer 2,Status
1,extracted_monomers_gpt4o_mini_mix-u.csv,1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,New_Unique
2,extracted_monomers_gpt4o_mini_mix-u.csv,2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCOCCOCCN,New_Unique
3,extracted_monomers_gpt4o_mini_mix-u.csv,4,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,New_Unique
4,extracted_monomers_gpt4o_mini_mix-u.csv,7,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,CC(N)COCC(C)OCC(C)OCC(C)N,New_Unique
5,extracted_monomers_gpt4o_mini_mix-u.csv,8,CC(C)(cccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCC1)C1CCOCC1)c4ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)ccc4,CC(N)COCC(C)OCC(C)N,New_Unique
6,extracted_monomers_gpt4o_mini_mix-u.csv,9,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)cc(C)c1OCC1CO1,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,New_Unique
7,extracted_monomers_gpt4o_mini_mix-u.csv,10,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,New_Unique
8,extracted_monomers_gpt4o_mini_mix-u.csv,12,CC(C)(c1ccc(OCCOCCOCCOC2CCC2)cc1)c1ccc(OCCOCCOCCC2CC2)cc1,NCCOCCOCCN,New_Unique
9,extracted_monomers_gpt4o_mini_mix-u.csv,13,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CN)CCCN,New_Unique
10,extracted_monomers_gpt4o_mini_mix-u.csv,16,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC=C)CC1(C)C,NCCOCCOCCN,New_Unique
11,extracted_monomers_gpt4o_mini_mix-u.csv,17,CC(C)(c1ccc(OCC(O)COc2ccc(C(C)(C)c3ccc(OCC4CO4)cc3)cc2)cc1)c1ccc(OCC2CO2)cc1,CC(N)COCC(C)OCC(C)N,New_Unique
12,extracted_monomers_gpt4o_mini_mix-u.csv,18,CCCCCCCCCCCCCCC(=O)OCCn1c(=O)n(CCOC(=O)CC)c(=O)n(CCOC(=O)CC)c1=O,CCCCC(C)(C)COC(=O)NCCNOC(=O)CC(C)(C)CC,New_Unique
13,extracted_monomers_gpt4o_mini_mix-u.csv,20,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,NCCCOCCCOCCCN,New_Unique
14,extracted_monomers_gpt4o_mini_mix-u.csv,21,Cc3cc(C)c2c(c(CC(O)COc1ccc(C(C)(C)C)cc1)OCC3CO3)OCC2CO2)OCC1CO1,N=Cc1cccc(C=N)c1,New_Unique
15,extracted_monomers_gpt4o_mini_mix-u.csv,22,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1(C)CC(N)CC(O)C1(c2cccc(C(C)(C)c2)C(C)(C)c6cccc(OCC6)C(=O)OCC3CC3)C(=O)OCC4CC4,New_Unique
16,extracted_monomers_gpt4o_mini_mix-u.csv,23,CCOCCOCCOCCOc1ccc(C(C)(C)c2ccc(OCCOCCOCCOCC)cc2)cc1,NCCOCCOCCOCCOCCN,New_Unique
17,extracted_monomers_gpt4o_mini_mix-u.csv,24,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccccc1CC=C,CCCC(=O)OCC(COC(=O)CC)(COC(=O)CC)COC(=O)CC,New_Unique
