SL,SMILE1,SMILE2,Temperature,Prompt,Non_Reactive_groups,Source_File
1,C1CCCC(=O)OCC1,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.6,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
2,NCCCOCCOCCCN,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.6,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
3,Nc2ccc(SSc1ccc(N)cc1)cc2,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.6,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
4,C=CC(=O)OCCCC,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,2.0,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses.json
5,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CCCCCCCCCN,2.0,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses.json
6,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCCC,2.0,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses.json
7,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)CCCC(C)CCCC(C)CCCC(C)OCC(C)OCC(C)OCC(C)OC(=O)C(=C)C,2.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
8,C[C@@H]1CS(=O)(=O)CCN1/N=C/c2ccc(o2)[N+](=O)[O-],NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,2.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
9,Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2,C=C(C)C(=O)OC,2.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
10,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=CCc1ccccc1OCC(O)COC(=O)C3CCCCC3OCC(O)COC(=O)C2CCCCC2OCC(O)COc1ccccc1CC(C)(C)C,2.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,[],properties_generated_responses.json
