SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
1,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,1.0,Design a TSMP with a glass transition temperature of 60°C and an elastic recovery of 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
2,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,1.3,Suggest a polymer system for Tg ≈ 140°C and Er ≈ 80 MPa.,"['NC', 'C1OC1']",properties_generated_responses_s.json
3,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,CCCCNCCCNCCCNCCCNCCCN(CCN)CCN,1.6,Generate a thermoset shape memory polymer with Tg = 60°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
4,C=C(C)C(=O)C(=O)C(=C)C(=C)C,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,2.0,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
5,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,CPCCCN(CCCN(CCCN(CCCN)CCCN)CCNN)CCNN(CCN(CCCCCC)CCN)(CCN(CCCCCC)CCN),2.0,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CC(NCCOCCOCCN)(C)CCOCCOCCN,2.0,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
7,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,NCCCOCCOCCN,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
8,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CC(NCCOCCOCC1CO1)COCCCC(CNCCCN)CNCCNN,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
9,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,CCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
10,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,CCPC(=O)CNCCC(CN)(C)C,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
11,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,CCN(CCS)CCS,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
12,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)COCC=C)CC(C)(C)C1,0.5,Design a thermoset shape memory polymer using monomers that include thiol(CCS) and vinyl(C=C) functionalities.,"['CCS', 'C=C']",group_generated_responses_s.json
13,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)C(=O)C(=C)C,0.8,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in hydroxyl(=O) groups.","['C=C', 'C=C(C=O)']",group_generated_responses_s.json
14,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CC1(C)CC(NC)CC(C)(NC)C1,1.6,Suggest a TSMP system with one monomer having epoxy(C1OC1) groups and the other featuring imine(NC) groups.,"['C1OC1', 'NC']",group_generated_responses_s.json
15,c3cc(N(CC1CC1)CC2CO2)ccc3Cc6ccc(N(CC4CC4)CC5CO5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.6,Suggest a TSMP system with one monomer having epoxy(C1OC1) groups and the other featuring imine(NC) groups.,"['C1OC1', 'NC']",group_generated_responses_s.json
