Smiles,Ration_1,Ratio_2,Er,Tg
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(C)(C)N']",0.1,0.9,66.80495,136.21887
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(CN)CCCN']",0.6,0.4,33.706516,61.750492
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N']",0.6,0.4,18.629704,62.80866
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)OCC(C)OCC(C)N']",0.6,0.4,19.25101,40.096603
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N']",0.6,0.4,20.995564,40.590813
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N']",0.1,0.9,83.70981,290.72394
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N']",0.1,0.9,31.143274,191.06061
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC1(C)CC(N)CC(C)(CN)C1']",0.1,0.9,12.1537895,44.662907
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N']",0.2,0.8,33.097534,56.864334
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N']",0.3,0.7,41.845814,65.68767
"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCCCCCCCCCCCCCCN']",0.1,0.9,16.691317,89.68014
