SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
1,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,0.5,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
2,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.5,Propose two monomers that form a TSMP with Tg = 150°C and Er = 200 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
3,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.8,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
4,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.8,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
5,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.8,Create a thermoset polymer with Tg around 60°C and Er near 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
6,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCSOCC(C)(C)C(CS)C(C)(C)S,1.0,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
7,C=CCOCC(CO)(COCC=C)COCC=C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
8,C=CCOCC(CO)(COCC=C)COCC=C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
9,C=CCOCC(CO)(COCC=C)COCC=C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
10,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Suggest a polymer system for Tg ≈ 150°C and Er ≈ 200 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
11,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Propose two monomers that form a TSMP with Tg = 60°C and Er = 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
12,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
13,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.3,Suggest a polymer system for Tg ≈ 150°C and Er ≈ 200 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
14,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,1.3,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,"['C=C(C=O)', 'C=C']",properties_generated_responses_s.json
15,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.3,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
16,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.6,Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
17,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,1.6,Design a TSMP with a glass transition temperature of 140°C and an elastic recovery of 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
18,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,1.6,Design a TSMP with a glass transition temperature of 140°C and an elastic recovery of 80 MPa.,"['C=C(C=O)', 'C=C']",properties_generated_responses_s.json
19,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.6,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
20,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,O=c1n(CCS)c(=O)n(CCCS)c(=O)n1CCS,2.0,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
21,c3cc(NCC(C1CO1)CC2CO2)ccc3OCC4CO4,NCCOCCNCCOCCN,2.0,Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
22,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,CCC(COCC(S)OCC(C)OCC(C)N)COCC(C)OCC(C)N,2.0,Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
23,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains hydroxyl(=O) groups.,"['C=C(C=O)', 'C=C']",group_generated_responses_s.json
24,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains hydroxyl(=O) groups.,"['C=C(C=O)', 'C=C']",group_generated_responses_s.json
25,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains hydroxyl(=O) groups.,"['C=C(C=O)', 'C=C']",group_generated_responses_s.json
26,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains hydroxyl(=O) groups.,"['C=C(C=O)', 'C=C']",group_generated_responses_s.json
27,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains hydroxyl(=O) groups.,"['C=C(C=O)', 'C=C']",group_generated_responses_s.json
28,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,0.5,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains hydroxyl(=O) groups.,"['C=C(C=O)', 'C=C']",group_generated_responses_s.json
29,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,0.5,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in thiol(CCS) groups.","['C=C', 'CCS']",group_generated_responses_s.json
30,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,0.5,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in thiol(CCS) groups.","['C=C', 'CCS']",group_generated_responses_s.json
31,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=Cc1cccc(C=C)c1,0.5,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,"['C=C(C=O)', 'C=C']",group_generated_responses_s.json
32,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOCC(CO)(COCC=C)COCC=C,0.5,Suggest a TSMP system with one monomer having vinyl(C=C) groups and the other featuring vinyl(C=C) groups.,"['C=C(C=O)', 'C=C']",group_generated_responses_s.json
