SL,Monomer 1,Monomer 2
1,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N
2,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCOCCOCCN
3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCOCCOCCN
4,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N
5,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCOCCOCCN
6,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCOCCOCCN
7,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N
8,CC(C)(c2ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCC1)C1CCOCC1)c4ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCC3)ccc4,CC(N)COCC(C)OCC(C)N
9,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N
10,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N
11,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCOCCOCCN
12,CC(C)(c2ccc(OCCOCCOCCOC1CCC1)cc2)c4ccc(OCCOCCOCCC3CC3)cc4,NCCOCCOCCN
13,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(CN)CCCN
14,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCOCCOCCN
15,Cc1oc2cc(CCc1OCC1COc1cc(C(C)C)cc(O1)C(=O)O2)cc(C(C)C)c2OCC2COc2ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,is
16,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCOCCOCCN
17,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC=C)CC(C)(C)1,NCCOCCOCCN
18,CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CC(N)COCC(C)OCC(C)N
19,CCCCCCCCCCCCCCC(=O)OCCn1c(=O)n(CCOC(=O)CC)c(=O)n(CCOC(=O)CC)c1=O,CCCCC(C)(C)COC(=O)NCCNOC(=O)CC(C)(C)CC
20,Cc1cccc2c1c(=O)c(=O)c3c2c(=O)n(c3=O)c5c4cc(C)c(=O)n5c(=O)c4c(=O)n(c6cc(C)cc=c6C)c3(=O)N,s
21,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(CN)CCCN
22,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,NCCCOCCCOCCCN
23,Cc3cc(C)c2c(c(CC(O)COc1ccc(C(C)(C)C)cc1)OCC3CO3)OCC2CO2)OCC1CO1,N=Cc1cccc(C=N)c1
24,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC1(C)CC(N)CC(O)C1(c2cccc(C(C)(C)c2)C(C)(C)c6cccc(OCC6)C(=O)OCC3CC3)C(=O)OCC4CC4
25,CC(C)(c2ccc(OCCOCCOCCOCC1)cc2)c4ccc(OCCOCCOCCOCC3)cc4,NCCOCCOCCOCCOCCN
26,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,CCCC(=O)OCC(COC(=O)CC)(COC(=O)CC)COC(=O)CC
27,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(C)(C)CC(C)(C)C1
28,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(C)COc2ccccc2CC)(c3)cc4ccc(OCC(C)COc6ccccc6CC)(c4)cc5ccc(OCC(C)COc8ccccc8CC)(c5)cc7ccc(OCC(C)COc7ccccc9CC)(c6)cc1ccc(OCC(C)COc1ccccc3CC)(c2)cc0ccc(OCC(C)COc0ccccc4CC)(c0)cc9ccc(OCC(C)COc3ccccc3CC)(c4)cc8ccc(OCC(C)COc6ccccc6CC)(c5)cc2ccc(OCC(C)COc2ccccc0CC)(c1)cc7ccc(OCC(C)COc7ccccc1CC)(c3)cc0ccc(OCC(C)COc0ccccc2CC)(c2)cc9ccc(OCC(C)COc4ccccc4CC)(c6)cc5ccc(OCC(C)COc8ccccc8CC)(c7)cc3ccc(OCC(C,s
29,C=C(C)OCC(O)(C)COC(=O)CC(C)(C)OCC(O)(C)COc2ccc(C(C)(C)C(=O)OCC(O)(C)COc1ccc(C(C)(C)C(=O)OCC(O)(C)COc3ccc(C(C)(C)C(=O)OCC(O)(C)COc4ccc(C(C)(C)C(=O)OCC(O)(C)COc5ccc(C(C)(C)C(=O)OCC(O)(C)COc6ccc(C(C)(C)C(=O)OCC(O)(C)COc7ccc(C(C)(C)C(=O)OCC(O)(C)COc8ccc(C(C)(C)C(=O)OCC(O)(C)COc9ccc(C(C)(C)C(=O)OCC(O)(C)COc10ccc(C(C)(C)C(=O)OCC(O)(C)COc11ccc(C(C)(C)C(=O)OCC(O)(C)COc12ccc(C(C)(C)C(=O)OCC(O)(C)COc13ccc(C(C)(C)C(=O,s
30,C=C(C)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,CC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)OCC(CS)
31,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS
32,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CC=C)(COC(=O)CC=C)COC(=O)CC=C
33,C=C(C)OCC(O)(COC=C)COC(=O)NCC1(C)CC(C)(C)C1,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(C)(C)C1
34,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC(=O)OCC
35,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,CCC(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)N
36,C=C(C)C(=C)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,CC(C)(C)N
37,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,CCCC(=O)OCC(COC(=O)CCCC)OC(=O)CCCC
