SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
1,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,0.5,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
2,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,0.8,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
3,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NC1(C)CC(C)(C)C1,0.8,Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
4,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.0,Create a thermoset polymer with Tg around 40°C and Er near 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
5,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Create a thermoset polymer with Tg around 40°C and Er near 80 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
6,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCc1ccccc1OCC(O)COc2ccccc2CC=C,1.0,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C=C(C=O)', 'C=C']",properties_generated_responses_s.json
7,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
8,C=Cc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,1.0,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
9,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,CC(C)(C)NCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)N(C)CC(C)(CN)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)N(C)CC(C)(CN)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)N(C)CC(C)(CN)COCCO,1.3,Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
10,CC(COC(=O)CCc3ccc(S(=O)(=O)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,CCC(COCC(C)OCC(C)OCC(C)N)(COCC(C)OCC(C)OCC(C)N)COCC(C)OCC(C)OCC(C)N,1.6,Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
11,CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.6,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
12,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.6,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
13,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,1.6,Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
14,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,NCNCCN,1.6,Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
15,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,1.6,Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
16,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=CCC(COC(=O)CCS)OCC(O)COC(=O)CCS,1.6,Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,"['C=C', 'CCS']",properties_generated_responses_s.json
17,CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,NCCCOCCOCCN,1.6,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
18,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,NCCCOCCOCCN,1.6,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
19,CC(C)(C4CCC(OCC(O)C3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.6,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses_s.json
20,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.6,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
21,C=C(C)C(=O)OCCCCCCC(=O)OCC(C)(C)COC(=O)C(=C)C,C=Cc1cccc(C=C)c1,2.0,Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,"['C=C(C=O)', 'C=C']",properties_generated_responses_s.json
22,C=CCC(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(=O)COC(=O)C=C)cc1)cc2,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)(C)C(=O)C(=C)C,2.0,Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses_s.json
23,C=C(C)C(=O)OCCCCCCC(=O)OCC(C)(C)COC(=O)C(=C)C,C=C(C)C(=O)OCC(O)COc2ccc(C(C)c1ccc(OCC(C)OCC(C)CC1CO1)cc1)cc2,2.0,Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,"['C=C(C=O)', 'C=C']",properties_generated_responses_s.json
