SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
1,CCC(COC3CO3)CC(C)(COC2CO2)C(=O)OCC4CO4,NCCOCCOCCN,1.3,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,"['C1OC1', 'NC']",Output\groups_generated_responses_s.json
2,CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,NCCNCCN(C)CCN(CCNCCN)CCN(CCN)CCN,1.3,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,"['C1OC1', 'NC']",Output\groups_generated_responses_s.json
3,O=C(OCC1CO1)C4CC3OC3CC4C(=O)OCC2CO2,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.3,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,"['C1OC1', 'NC']",Output\groups_generated_responses_s.json
4,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(OC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC,0.5,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.","['C=C', 'C=C(C=O)']",Output\groups_generated_responses_s.json
5,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(OC(=O)CCS)OCC(=O)CCS,0.8,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.","['C=C', 'CCS']",Output\groups_generated_responses_s.json
6,C=Cc1cccc(C=C)c1,C=C(OC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOCCOC(=O)OCCOCCO,1.0,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.","['C=C', 'C=C(C=O)']",Output\groups_generated_responses_s.json
7,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CC(=O)OCCn1c(=O)n(CCOCC=C)c(=O)n(CCOCC=C)c1=O,1.3,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.","['C=C(C=O)', 'C=C']",Output\groups_generated_responses_s.json
8,C=Cc1cccc(C=C)c1,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)cc2)=c3)cc4,1.6,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.","['C=C', 'C=C(C=O)']",Output\groups_generated_responses_s.json
9,C=CCOCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,1.6,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.","['CCS', 'C=C']",Output\groups_generated_responses_s.json
10,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,CCC(C=O)(C)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.6,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.","['C=C', 'CCS']",Output\groups_generated_responses_s.json
11,C=CCOCC(CO)(COCC=C)COCC=C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.0,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes thiol(CCS) groups.","['C=C', 'CCS']",Output\groups_generated_responses_s.json
12,C=CCOCC(CO)(COCC=C)COCC=C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)C(C)(C)C1,1.0,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes thiol(CCS) groups.","['C=C', 'CCS']",Output\groups_generated_responses_s.json
13,C=C[C@@H]C(=C)OCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,1.3,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes thiol(CCS) groups.","['C=C', 'CCS']",Output\groups_generated_responses_s.json
14,C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=C)C,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,1.3,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes thiol(CCS) groups.","['C=C', 'CCS']",Output\groups_generated_responses_s.json
