SL,Monomer 1,Monomer 2,Output_text,Group1,Group2,Temperature,Tg,Er,Prompt
1,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC1(C)CC(N)CC(C)(CN)C1,"To achieve Tg of 100°C and Er of 40Mpa, consider this monomer combination:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: CC1(C)CC(N)CC(C)(CN)C1",N/A,N/A,0.3,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
2,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(C)N,"To achieve Tg of 100°C and Er of 40Mpa, consider this monomer combination:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: CC(C)(C)N",N/A,N/A,0.3,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
3,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)=O,"To achieve Tg of 100°C and Er of 40Mpa, consider this monomer combination:
Monomer 1: C=C(C)C(=C)OCOCCOC(=O)C(=C)C
Monomer 2: C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)=O",N/A,N/A,0.3,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
4,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(C)N,"Based on your requirements, I suggest the following monomers:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: CC(C)(C)N",N/A,N/A,0.3,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
5,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(C)N,"To achieve Tg of 100°C and Er of 40Mpa, consider this monomer combination:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: CC(C)(C)N",N/A,N/A,0.3,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
6,CC(C)(c2ccc(OCCOCCOCCOCCOCC1)cc1)cc4OCCOCCOCCOCC3/c2ccc(OC4CCN4CC(OCC3)(OCC3)CC4)cc1,NCc1cccc(CN)c1,"To achieve Tg of 100°C and Er of 40Mpa, consider this monomer combination:
Monomer 1: CC(C)(c2ccc(OCCOCCOCCOCCOCC1)cc1)cc4OCCOCCOCCOCC3/c2ccc(OC4CCN4CC(OCC3)(OCC3)CC4)cc1
Monomer 2: NCc1cccc(CN)c1",N/A,N/A,0.5,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
7,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N,"Based on your requirements, I suggest the following monomers:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: CC(N)COCC(C)OCC(C)OCC(C)N",N/A,N/A,0.5,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
8,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N,"To achieve Tg of 100°C and Er of 40Mpa, consider this monomer combination:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: CC(N)COCC(C)OCC(C)OCC(C)N",N/A,N/A,0.5,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
9,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCCOCCOCCCN,"Based on your requirements, I suggest the following monomers:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: NCCCOCCOCCCN",N/A,N/A,0.5,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
10,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)N,"To achieve Tg of 100°C and Er of 40Mpa, consider this monomer combination:
Monomer 1: CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
Monomer 2: CC(N)COCC(C)OCC(C)OCC(C)OCC(C)N",N/A,N/A,0.5,100,40,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 40 MPa.
