Fixed Monomer 1,Fixed Monomer 2
C1=CC=C(C=C1)C(C2(CO2)OCCOCC)OCCOCC,C1=CC=C(C=C1)C(=N)C(C2=CC=C(C=C2)C(=O)N)C(=N)C
C1=CC=C(C=C1C(C2CO2)O)C(C2CO2)O,C1=CC=NC(=C1)C(C2=CC=NC(=C2)N)N
C1=CC=C(C=C1)C(C2(CO2)OCC3(CO3)OCC4(CO4)O)C2(CO2)OCC3(CO3)O,NC(CCCN=C(C)C)CCN=C(C)C
C1CC(C(C1)OCCO)C2(C(C2)C1CO1)OCCO,NC(CN)C(=N)C(CN)C(CN)
C1COC1C(C1COC1)C2C(O)C(C2)C1=CC=C(C)C(C1)CC1COC1,C1=CC=C(C=C1C(=O)NCCN=C(C1=CC=C(C=C1)C(=O)N)C1=CC=C(C=C1)C(=O)N)C(=O)N
C(C1CO1)(C(C1CO1)O)C(C1CO1)O,C=CC(N)C(N)C1=CC=C(C=C1)N
C1=CC=C(C=C1C(C2COC2)C2COC2)C2=COC2,C1=CN=C(C=C1)C(CN=C(C=C)C1=CN=C1)C(CN=C(C=C)C1=CN=C1)N=C(C1=CN=C1)C1=CN=C1
C(C1CO1)C(C1CO1)C1=CC=CC=C1,NC(C1=CC=CC=C1)C(=N)C(C1=CC=CC=C1)C(C1=CC=CC=C1)
C(C1COC1)C(C1COC1)OCCOCC,NC(Cc1ccc(NC)cc1)C(Cc1ccc(NC)cc1)
C1CC(C(C1)(C(C2CO2)O)O)C(C2CO2)O,NC(C1=CC=CC=C1)C=NN(C1=CC=CC=C1)C
CC1CC(CC2CC(C(C)C3CC(O)C3C(O)C(O)C3CC(C)C3O)C2)CO1,NCC(C1CCCCN1)C(N)C1CCCCN1
C(C1OC2=C(C1)C(C(=C2)OCCOCCO))OCCO,NC(C1=CC=CC=C1)C2=CC(NC)=C(C2)C=C
C=NC(C(CN)=C)C=NC,C1CCC(C2C1C(C2O)O)OCC1=CC(=C(C=C1)OCCO)OCCO
C1C(C(C1O)O)C(C(C2C(CO2)(C=CC=CC))O)C3C(C3C(CO)O)C=C(C(=C)C)C=O,NC(C1=CC=CC=N1)C(C2=CC=CC=N2)N
CCCC1CCC2C1C(O)C2C1(C2CC(O)C2(C(C)C(C)C(C)C(C)O)C(O)C2CCC(C(C)C)C2C)CCC1O,NC(=C(C1=CC=CC=C1)C2=CC=CC=C2)NCC1CCN=C(C)C1
CCCCCCC(=O)OCC1C(O1)C2CCC1C=C(C2)OCC1C(C=C)COOC(=O)CCCCCC,N=C(CCN)C(CCN)CCN
C=CC1=CC=CC=C1C(C(C)C)C=C(C)C1=CC=CC=C1C=C,C(C1CCCCC1)(C(CS)C(CS)C)C(CS)C(CS)C
C=CC1=CC=CC=C1C(C)C1=CC=CC=C1C=CC,C(CS)C1=CC=C(CS)C=C1C(CS)C
C=C(C1=CC=C(C=C)C=C1)C(C(C1=CC=C(C=C)C=C1)C)C,C(C(C(C(C(C(C(S)C)S)C)C)C)C)C
C=CC(C(C=C)C)C(C=C)C(C=C)C(C=C)C(=O)O,C1CSCCS1
C=C(C1=CC=C(C=C)C=C1)C=C,C1(C(CS)C(CS)CCCCC1)
C1=CC(=C(C=C1)C(CS)C(S)C)C,C=C1CCCCC1=C(C=C)
C=C1CCCCC1=C(C=C)C,C1=CC(=C(C=C1)C(CS)C(S)C)C
C=C(C1=CC=CC=C1)C(CCCC)C(C1=CC=CC=C1)C=C,C(C(C(C1CCCCC1)S)S)C(C(C(C1CCCCC1)S)S)
C=C(C1=CC=C(C=C1)C)C(C1=CC=C(C=C1)C)C,CCCCCCC(C1=CC(=C(C=C1)C)C)C(=S)C(=S)C
C=C(C1=CC=C(C=C1)C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=CO4,C1CC(CC1C(=S)C)C(=S)C(C)C(=S)C(C)C
C=C(C1=CC=CC=C1)C(C1=CC=CC=C1)C=C,C1(CCS)C(CCS)CCC1
CC(=C)C(=O)OCCCCC(=O)OCC(=C)C,C(C)SCC(S)C
