SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
1,CCCCCCCCC1OC1CCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CC5OC5CC6OC6CC7OC7CC8OC8CC9OC9CC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.6,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
2,C1CCCCC1OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,C=Cc1cccc(C=C)c1,1.6,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,"['CCS', 'C=C']",properties_generated_responses.json
3,CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,c1cc(c2nccc(=O)n2c1)SC(=O)N3CCSCC3,1.6,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
4,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=CCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,2.0,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,"['C=C', 'CCS']",properties_generated_responses.json
5,C=CCc1ccccc1OCC(O)COC(=O)OCC(O)COc2ccccc2CC=C,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,2.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses.json
6,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCC(CN)CCN)CCN,2.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
7,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCC(CN)CCN)CCN(CCN)CCN,2.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
8,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,CC1=C([C@H](C(=C(O1)N)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)C,2.0,Propose two monomers that form a TSMP with Tg = 140°C and Er = 80 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses.json
9,CC(C)(C4CCC(OCC1CO1)CC(C)(C)C2CCC(OCC3CO3)CC2)C(C)(C)C4,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,2.0,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
10,C=CC(c3ccc(OCC1CO1)cc3)C(=O)OCC4CO4,CC(N)COCC(C)OOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,2.0,Suggest a polymer system for Tg ≈ 60°C and Er ≈ 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
11,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,CCc1cc(C)c(N)c(CC)(CN)C1,2.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
12,CC(=O)O[C@@H]1CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.6,Design a thermoset shape memory polymer using monomers that include vinyl(C=C) and hydroxyl(=O) functionalities.,"['C=C', 'C=C(C=O)']",group_generated_responses.json
13,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,CCNCCN,2.0,Suggest a TSMP system with one monomer having epoxy(C1OC1) groups and the other featuring imine(NC) groups.,"['C1OC1', 'NC']",group_generated_responses.json
14,CC(C/OCC(O)COc2ccc(OCC1CO1)cc2)OCC3CO3,CC1(C)[N+](=O)C(=C(C)C)C(=O)N[C@@H]1CCN,2.0,Suggest a TSMP system with one monomer having epoxy(C1OC1) groups and the other featuring imine(NC) groups.,"['C1OC1', 'NC']",group_generated_responses.json
15,c1ccc2c(c1)C(=C(C(=O)C2=O)CC=C(Cl)Cl)[O-],C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,2.0,"Provide a pair of monomers suitable for TSMPs, one rich in vinyl(C=C) and the other in hydroxyl(=O) groups.","['C=C', 'C=C(C=O)']",group_generated_responses.json
16,C=C(C=O)OC(=O)C=C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.5,"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating acrylate(C=C(C=O)) and vinyl(C=C) functionalities.","['C=C', 'C=C(C=O)']",mix_generated_responses.json
17,C=C(C=O)OC(=O)C=C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.5,"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating acrylate(C=C(C=O)) and vinyl(C=C) functionalities.","['C=C', 'C=C(C=O)']",mix_generated_responses.json
