SL,SMILE1,SMILE2,Temperature,Prompt,Non_Reactive_groups,Source_File
1,CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,CCSOCCOCCS,0.8,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_large.json
2,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CC1(C)CC(N)CC(C)(N)C1,0.8,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_large.json
3,C1CC(C)(C1)N2C(=O)C=CC2=O,CC1(C)CC(N)CC(C)(CN)C1,1.0,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_large.json
4,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.0,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_large.json
5,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.3,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_large.json
6,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.3,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_large.json
7,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
8,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,1.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
9,CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N,1.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
10,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.3,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
11,c1ccc2c(c1)C(=O)C(=C(C2=O)[O-])C3CCCCC3,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,1.3,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
12,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.3,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
13,c1cc(ccc1NC(=O)/C=C/C(=O)[O-])S(=O)(=O)N,C=COC(=O)CCCCCC(C)(C)C,1.6,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
14,CCSOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)(C)C,CC(CN)CCCN,1.6,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
15,CC(C)(C2CCC(OCC1CO1)CC2)OCC3CO3,CCc1cc(C)c(N)c(CC)c1N,1.6,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
16,C=COC(=O)CCCCCC(C)(C)C,Oc1cc(ccc1OC)OC,1.6,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
17,C=C(O)C(=O)OCC(S)(S)S,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.6,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
18,C=C(C)C(=O)OCCCC,C=C(C)OCC(COCC(C)OCC(C)OCC(C)N)(COCC(C)OCC(C)OCC(C)N)COCC(C)OCC(C)OCC(C)N,1.6,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
19,Nc2ccc(Cc1ccc(N)cc1)cc2,CC(CN)CCCN,1.6,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_large.json
20,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,CC1(C)CC(N)CC(C)(CN)C1,0.5,Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,[],properties_generated_responses_large.json
21,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,NCc1cccc(CN)c1,0.5,Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,[],properties_generated_responses_large.json
