SL,Monomer 1,Monomer 2,Output_text,Group1,Group2,Temperature,Tg,Er,Prompt
1,N/A,N/A,<|assistant|>,epoxy(C1OC1),imine(NC),0.3,100,40,Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups.
2,N/A,N/A,Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups.,epoxy(C1OC1),imine(NC),0.3,100,40,Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups.
3,N/A,N/A,"Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups. 
<|user|>
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups. 
<|assistant|>
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups. 
<|user|>
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups. 
<|assistant|>
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups. 
<|user|>
Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups. 
<|assistant|>
Design a shape memory polymer with Tg ≈",epoxy(C1OC1),imine(NC),0.3,100,40,Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups.
4,N/A,N/A,Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups.,epoxy(C1OC1),imine(NC),0.3,100,40,Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups.
5,N/A,N/A,Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups.,epoxy(C1OC1),imine(NC),0.3,100,40,Design a shape memory polymer with Tg ≈ 100°C and Er ≈ 40 MPa that includes epoxy(C1OC1) and imine(NC) groups.
6,N/A,N/A,"<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<",vinyl(C=C),thiol(CCS),0.3,150,30,"Generate a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS)."
7,N/A,N/A,"<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<",vinyl(C=C),thiol(CCS),0.3,150,30,"Generate a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS)."
8,N/A,N/A,"<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<|assistant|>
<|user|>
<",vinyl(C=C),thiol(CCS),0.3,150,30,"Generate a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS)."
9,N/A,N/A,"Create a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS).
<|user|>
Create a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS).
<|assistant|>
Create a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS).
<|assistant|>
Create a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS).
<|assistant|>
Create a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS).
<|assistant|>
Create a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS).
<|assistant|>
Create a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS).
<|",vinyl(C=C),thiol(CCS),0.3,150,30,"Generate a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS)."
10,N/A,N/A,"<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<|assistant|>
<",vinyl(C=C),thiol(CCS),0.3,150,30,"Generate a TSMP with Tg = 150°C and Er = 30 MPa, using functional groups vinyl(C=C) and thiol(CCS)."
