prompt,smile1,smile2,tg_actual,tg_predicted,er_actual,er_predicted,tg_error,er_error
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",c3cc(N(CC1CC1)CC2CO2)ccc3Cc6ccc(N(CC4CC4)CC5CO5)cc6,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,40.0,81.97219,80.0,26.93412,41.972190856933594,-53.065879821777344
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",C1OC1COC3COC4C(OC2CO2)COC34,NCCCOCCOCCCCN,40.0,54.03422,80.0,22.095972,14.034221649169922,-57.90402793884277
"Propose two monomers that form a TSMP with Tg around 40°C, Er near 80 MPa, and containing epoxy(C1OC1) and imine(NC) groups.",CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)CC(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,40.0,54.820683,80.0,191.3053,14.820682525634766,111.3052978515625
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)C(C)(C)C1,150.0,118.51467,200.0,28.745573,-31.485328674316406,-171.25442695617676
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,150.0,89.97188,200.0,46.53802,-60.02812194824219,-153.46197891235352
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,C=CC(=O)OCC(C)(C)OCC(C)(C)OCC(C)(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=N)(COCC=N)COCC=N)CC(C)(C)C1,150.0,63.816883,200.0,21.928453,-86.1831169128418,-178.07154655456543
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C=C(CCS)OCC=C(CCOC(=O)CCS)OC(=O)CCS,150.0,53.3185,200.0,50.156002,-96.68149948120117,-149.84399795532227
Design a shape memory polymer with Tg ≈ 150°C and Er ≈ 200 MPa that includes vinyl(C=C) and thiol(CCS) groups.,C=C(C)C(=O)OCCOCCOCCOCCOCCC(=O)OCCOCCOCCOCCOC(=O)C(=C)C,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,150.0,123.84512,200.0,28.00199,-26.154876708984375,-171.99801063537598
Design a shape memory polymer with Tg ≈ 140°C and Er ≈ 80 MPa that includes thiol(CCS) and vinyl(C=C) groups.,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CSc1cccc(C=C)c1,140.0,195.85164,80.0,146.84903,55.85163879394531,66.84902954101562
"Create a thermoset polymer with Tg = 60°C, Er = 100 MPa, and monomers featuring vinyl(C=C) and vinyl(C=C) groups.",C=C/C(=O)/OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=CCOCC(CO)(COCC=C)COCC=C,60.0,48.890636,100.0,23.796526,-11.109363555908203,-76.2034740447998
