Fixed Monomer 1,Fixed Monomer 2
C1CCCCC1C(C(C1=COC1)O)C(C(C1=COC1)O)C1=COC1,C1=CC=C(C=C1C(=O)C2=CC=C(C=C2)N=N)N
C(C1OC1)C(C1OC1)OCC,Cc1ccc(N=Cc2ccc(C)cc2)cc1C
C1CCCCC1C(C(C1COC1)O)C(C(C1COC1)O)C(C1COC1)O,C1=CC=C(C=C1C(=O)NCC(=C)C1=CC=C(C=C1)C(=O)N)C(=C)C1=CC=C(C=C1)C(=O)N
C1=CC=C(C=C1C(C(C)O)O)C(C(C)O)O,C1=CC=C(C=C1C=O)C(C=O)N
C(C1=CC=C(C=C1)C(=O)O)C(C2COC2)OCC2COC2,CC(C1=CC=CC=C1)N=C(C(C)O)C(C)O
C1CCCCC1C(C(C1=COC(C(C1=COC)C)C)C)C,C1=CC=C(C=C1C(=N)C2=CC=C(C=C2C(=N)C)C)C(=O)OC
C=CC(C1COC1)C(C1COC1)C(=C)C1COC1,N=C(C(C)N)C(C(C)N)C=O
C(C1OC1)C(C1OC1)OCC,NC(C1=CC=CC=C1)C(=O)N(C1=CC=CC=C1)
C(C1OC1)C(C1OC1)OCCO,CC(NC1CCCCC1)C1CCC(N)CC1
CC(C1=CC=C(C=C1)C(C(C)C)OCC(O)C)OCC1OC(C1)C(C(C)C)N(C1=CC=C(C=C1)C)C,C=CC(CN=C(C)C)N=C(C)C(=C)C
C(C1OC(C1)C(C1OC(C1)C(=O)OCC(=O)O)C),CC(NC(NC1CCCCC1)C1CCCCC1)C1CCC(N)CC1
C=CC1=CC=CC=C1C(C(C=C)C)C,C(CS)C1(CCCCC1)C(CS)C
C=CC1=CC=CC=C1C(C(C)C)C2=CC=CC=C2,CCC(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C(CS)C1CCC(C(CS)CS)C1
