SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
1,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,0.5,Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,"['C=C', 'CCS']",properties_generated_responses.json
2,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,C=CCc1ccccc1OCC(O)COC(=O)Cc2ccc(C(=O)OCC(O)COc1ccccc1CC=C)cc2,1.0,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,"['C=C(C=O)', 'C=C']",properties_generated_responses.json
3,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.3,Suggest a polymer system for Tg ≈ 150°C and Er ≈ 200 MPa.,"['C=C', 'CCS']",properties_generated_responses.json
4,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,1.3,Suggest a polymer system for Tg ≈ 150°C and Er ≈ 200 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses.json
5,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,1.6,Suggest a polymer system for Tg ≈ 150°C and Er ≈ 200 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses.json
6,c3cc(N(CC1CP1)CC2CO2)ccc3OCC4CO4,NCCCOCCOCCCN,2.0,Propose two monomers that form a TSMP with Tg = 150°C and Er = 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
7,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,CCCS(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,2.0,Propose two monomers that form a TSMP with Tg = 150°C and Er = 200 MPa.,"['C=C', 'CCS']",properties_generated_responses.json
8,CCCCCCCCC1OC1CCCCCCCC(=O)OCC2CO2,NCCCOCCOCCCN,2.0,Design a TSMP with a glass transition temperature of 140°C and an elastic recovery of 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
9,CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)c6ccc(OCC5CO5)cc6,NCCCOCCOCCCN,2.0,Design a TSMP with a glass transition temperature of 140°C and an elastic recovery of 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
10,CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,2.0,Design a TSMP with a glass transition temperature of 140°C and an elastic recovery of 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
11,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,2.0,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,"['C1OC1', 'NC']",group_generated_responses.json
12,C=C(C)C(=O)OOCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,2.0,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes thiol(CCS) groups.","['C=C', 'CCS']",group_generated_responses.json
13,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,0.5,"Create a thermoset polymer with Tg = 150°C, Er = 200 MPa, and monomers featuring vinyl(C=C) and thiol(CCS) groups.","['C=C', 'C=C(C=O)']",mix_generated_responses.json
14,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,0.8,"Create a thermoset polymer with Tg = 100°C, Er = 100 MPa, and monomers featuring vinyl(C=C) and hydroxyl(=O) groups.","['C=C(C=O)', 'C=C']",mix_generated_responses.json
15,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,0.8,"Propose two monomers that form a TSMP with Tg around 150°C, Er near 200 MPa, and containing vinyl(C=C) and thiol(CCS) groups.","['C=C', 'C=C(C=O)']",mix_generated_responses.json
16,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,0.8,"Propose two monomers that form a TSMP with Tg around 150°C, Er near 200 MPa, and containing vinyl(C=C) and thiol(CCS) groups.","['C=C', 'C=C(C=O)']",mix_generated_responses.json
17,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,C=CCc1ccccc1OCC(O)COC(=O)Cc5ccc(C(=O)OCC(O)COc4ccccc4CC=C)cc5,0.8,"Create a thermoset polymer with Tg = 100°C, Er = 100 MPa, and monomers featuring acrylate(C=C(C=O)) and vinyl(C=C) groups.","['C=C(C=O)', 'C=C']",mix_generated_responses.json
18,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,1.0,"Suggest a TSMP system that satisfies Tg = 100°C and Er = 100 MPa, incorporating acrylate(C=C(C=O)) and vinyl(C=C) functionalities.","['C=C(C=O)', 'C=C']",mix_generated_responses.json
