SL,SMILE1,SMILE2,Temperature,Prompt,Non_Reactive_groups,Source_File
1,C=C(C)C(=O)OCCCC,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,0.5,Create a thermoset polymer with Tg around 150°C and Er near 200 MPa.,[],properties_generated_responses.json
2,Nc2ccc(Cc1ccc(N)cc1)cc2,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.8,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
3,Nc2ccc(Cc1ccc(N)cc1)cc2,CC(N)COCC(C)OCC(C)OCC(C)N,0.8,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
4,C=C(C)C(=O)OCCCC,C=C(C)C(=C)OCC(O)COC(=O)C(=C)C,0.8,Design a TSMP with a glass transition temperature of 60°C and an elastic recovery of 100 MPa.,[],properties_generated_responses.json
5,Nc2ccc(Oc1ccc(N)cc1)cc2,C1OC1COC3COC4C(OC2CO2)COC34,1.0,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
6,C=CC(=O)OC(C)(C)C,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,1.0,Propose two monomers that form a TSMP with Tg = 60°C and Er = 100 MPa.,[],properties_generated_responses.json
7,Nc2ccc(Cc1ccc(N)cc1)cc2,CCCCCCCCCCN,1.3,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
8,Nc2ccc(Cc1ccc(N)cc1)cc2,NCCNCCN,1.3,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
9,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,CC(N)COCC(C)OCC(C)OCC(C)N,1.3,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
10,Nc2ccc(SSc1ccc(N)cc1)cc2,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N,1.3,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
11,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,C=C(CN)CCCN,1.3,Design a TSMP with a glass transition temperature of 60°C and an elastic recovery of 100 MPa.,[],properties_generated_responses.json
12,Nc2ccc(SSc1ccc(N)cc1)cc2,CCCCCCCCCCN,1.6,Propose two monomers that form a TSMP with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
13,Nc2ccc(Cc1ccc(N)cc1)cc2,CC(N)COCC(C)OCC(C)OCC(C)N,1.6,Propose two monomers that form a TSMP with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses.json
