SL,SMILE1,SMILE2,Temperature,Prompt,Non_Reactive_groups,Source_File
1,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,CC(C)(C)N,0.8,Propose two monomers that form a TSMP with Tg = 150°C and Er = 200 MPa.,[],properties_generated_responses_s.json
2,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,NCCOCCOCCN,0.8,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses_s.json
3,Nc2ccc(Cc1ccc(N)cc1)cc2,NCCCOCCOCCCN,1.0,Create a thermoset polymer with Tg around 100°C and Er near 100 MPa.,[],properties_generated_responses_s.json
4,C=CC(=O)OCCCC,C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,1.0,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,[],properties_generated_responses_s.json
5,Nc2ccc(Oc1ccc(N)cc1)cc2,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,1.0,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,[],properties_generated_responses_s.json
6,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,1.0,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,[],properties_generated_responses_s.json
7,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,CC(C)(C)N,1.0,Design a TSMP with a glass transition temperature of 140°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_s.json
8,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Design a TSMP with a glass transition temperature of 140°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_s.json
9,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,CC(CN)CCCN,1.0,Design a TSMP with a glass transition temperature of 60°C and an elastic recovery of 100 MPa.,[],properties_generated_responses_s.json
10,CCCCCCCCCN,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,[],properties_generated_responses_s.json
11,CCCCCCCCCCCCCCCN,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.0,Suggest a polymer system for Tg ≈ 100°C and Er ≈ 100 MPa.,[],properties_generated_responses_s.json
12,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,CCCCCCCCCN,1.3,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_s.json
13,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,CCCCCCCCCCN,1.3,Design a TSMP with a glass transition temperature of 40°C and an elastic recovery of 80 MPa.,[],properties_generated_responses_s.json
14,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1.3,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,[],properties_generated_responses_s.json
15,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,CCc1cc(C)c(N)c(CC)c1N,1.3,Design a TSMP with a glass transition temperature of 100°C and an elastic recovery of 100 MPa.,[],properties_generated_responses_s.json
16,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,CCc1cc(C)c(N)c(CC)c1N,1.3,Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,[],properties_generated_responses_s.json
17,C=C(C)C(=O)OC,CC(C)(C)N,1.3,Design a TSMP with a glass transition temperature of 150°C and an elastic recovery of 200 MPa.,[],properties_generated_responses_s.json
18,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,1.3,Suggest a polymer system for Tg ≈ 140°C and Er ≈ 80 MPa.,[],properties_generated_responses_s.json
19,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,1.3,Suggest a polymer system for Tg ≈ 140°C and Er ≈ 80 MPa.,[],properties_generated_responses_s.json
20,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CCc1cc(C)c(N)c(CC)c1N,1.3,Suggest a polymer system for Tg ≈ 140°C and Er ≈ 80 MPa.,[],properties_generated_responses_s.json
21,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCC)COC(=O)CCCCCC,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,1.3,Suggest a polymer system for Tg ≈ 140°C and Er ≈ 80 MPa.,[],properties_generated_responses_s.json
22,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCc1cc(C)c(N)c(CC)c1N,1.3,Suggest a polymer system for Tg ≈ 140°C and Er ≈ 80 MPa.,[],properties_generated_responses_s.json
23,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O,1.6,Propose two monomers that form a TSMP with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses_s.json
24,C=CCOCC(CO)(COCC=C)COCC=C,CCS,1.6,Propose two monomers that form a TSMP with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses_s.json
25,C=COC(=O)CCCCCC(C)(C)C,C=COC(=O)CCCCCC(C)=O,1.6,Propose two monomers that form a TSMP with Tg = 40°C and Er = 80 MPa.,[],properties_generated_responses_s.json
26,C=C(C)C(=O)OC,C=COC(=O)CCCCCCCC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)C=C,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses_s.json
27,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,O=C(O)CCCC(=O)O,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses_s.json
28,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CCc1cc(C)c(N)c(CC)c1N,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses_s.json
29,C=C(C)C(=O)OCCCC,C=CC(=O)OCC(C)(C)C,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses_s.json
30,N#COc3ccc(SCCCC(=O)OCC2CCC(C(=O)OCC1CCC(=O)OCCCCC(=O)OCC1CCC(=O)N)CC2)cc3,Nc2ccc(Cc1ccc(N)cc1)cc2,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses_s.json
31,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses_s.json
32,Nc2ccc(Cc1ccc(N)cc1)cc2,CCc1cc(C)c(N)c(CC)c1N,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,[],properties_generated_responses_s.json
