SL,SMILE1,SMILE2,Temperature,Prompt,Reactive_groups,Source_File
1,CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
2,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.3,Suggest a polymer system for Tg ≈ 40°C and Er ≈ 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
3,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,CCOC(=O)/C(=C/c1ccc(cc1)Cl)/C(=O)C,1.6,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,"['C=C', 'C=C(C=O)']",properties_generated_responses.json
4,c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,Nc3ccc(Cc2ccc(N(CC1)CC1)cc2)cc3,1.6,Generate a thermoset shape memory polymer with Tg = 150°C and Er = 200 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
5,CC(C(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4),CC(N)COCC(C)OCC(C)OCC(C)N,1.6,Generate a thermoset shape memory polymer with Tg = 60°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
6,CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.6,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
7,CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,NCCNCCNCCN,1.6,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
8,C=C(C)C(=C)OCOCCOC(=O)C(=C)C,CCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,2.0,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,"['C=C', 'CCS']",properties_generated_responses.json
9,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6,NCCNOCCOC(=O)CCCCCC(C)(C)C,2.0,Generate a thermoset shape memory polymer with Tg = 40°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
10,C=C(C)C(=O)OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,2.0,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C=C', 'CCS']",properties_generated_responses.json
11,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,C=C(C)C(=O)OCC(CO)(COCC=C)COCC=C,2.0,Propose two monomers that form a TSMP with Tg = 100°C and Er = 100 MPa.,"['C=C(C=O)', 'C=C']",properties_generated_responses.json
12,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,NCCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
13,CC(C)(c3ccc(OCCOCC2CO2)cc3)c6ccc(OCCOCC5CO5)cc6,CC(N)COCC(C)OCC(C)OCC(C)N,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
14,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,CCS(=O)N5CCCCCN5,2.0,Generate a thermoset shape memory polymer with Tg = 140°C and Er = 80 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
15,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4,NCCNOCCOCCN,2.0,Generate a thermoset shape memory polymer with Tg = 100°C and Er = 100 MPa.,"['C1OC1', 'NC']",properties_generated_responses.json
16,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,C[NH+]1CCN(CC1)C2=C(C(=O)c3ccccc3C2=O)Cl,0.8,"Provide a pair of monomers suitable for TSMPs, one rich in epoxy(C1OC1) and the other in imine(NC) groups.","['C1OC1', 'NC']",group_generated_responses.json
17,CC\1=NC(=O)C(=C/C1=C\2/C=CN3C=CNC3=C2)C#N,Cc1cc(c2nccc(=O)n2c1)SC(=O)N3CCSCC3,0.8,Create a monomer pair for TSMPs where one contains vinyl(C=C) groups and the other contains hydroxyl(=O) groups.,"['C=C', 'CCS']",group_generated_responses.json
18,c1ccc3c(c1)c2ccccc2C3(c5ccc(OCCOCC4CO4)cc5)c7ccc(OCCOCC6CO6)cc7,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,1.3,"Provide a pair of monomers suitable for TSMPs, one rich in epoxy(C1OC1) and the other in imine(NC) groups.","['C1OC1', 'NC']",group_generated_responses.json
19,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,CC(=O)C(=Cc1ccc(cc1)S(=O)(=O)C)C(=O)C,1.6,"Provide a pair of monomers suitable for TSMPs, one rich in epoxy(C1OC1) and the other in imine(NC) groups.","['C=C', 'C=C(C=O)']",group_generated_responses.json
20,CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,C[NH+]1CCN(CC1)C2=C(C(=O)c3ccccc3C2=O)Cl,2.0,Suggest a TSMP system with one monomer having epoxy(C1OC1) groups and the other featuring imine(NC) groups.,"['C1OC1', 'NC']",group_generated_responses.json
21,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2OC2CC3OC3CC4OC4CC)OC(=O)CCCCCCCC5OC5CC6OC6CC7OC7CC,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNOCCOCCOCCN,2.0,Suggest a TSMP system with one monomer having epoxy(C1OC1) groups and the other featuring imine(NC) groups.,"['C1OC1', 'NC']",group_generated_responses.json
22,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,c1cc(ccc1N2C(=O)C=CC2=O)I,2.0,Suggest a TSMP system with one monomer having epoxy(C1OC1) groups and the other featuring imine(NC) groups.,"['C1OC1', 'NC']",group_generated_responses.json
