SL,SMILE1,SMILE2,Temperature,Prompt,Non_Reactive_groups,Source_File
1,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,CC(CN)CCCN,1.0,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,[],Output\groups_generated_responses_s.json
2,C=CC(OCC1CO1)C(C)(C)C,CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,1.3,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,[],Output\groups_generated_responses_s.json
3,C=CC(C)(c2ccc(OC1CO1)cc2)c4ccc(OC3CO3)cc4,NC,1.6,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,[],Output\groups_generated_responses_s.json
4,CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,NC,1.6,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,[],Output\groups_generated_responses_s.json
5,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,COCCOCCOCCOCCN,1.6,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,[],Output\groups_generated_responses_s.json
6,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,1.6,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,[],Output\groups_generated_responses_s.json
7,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,CC,1.6,Design a thermoset shape memory polymer using monomers that include epoxy(C1OC1) and imine(NC) functionalities.,[],Output\groups_generated_responses_s.json
8,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCC(C)(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,0.8,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.",[],Output\groups_generated_responses_s.json
9,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(O)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=O)OCCOCCOCCOCCOCCOC(=O)C(=O)OCCOCCOCCOCCO,1.0,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.",[],Output\groups_generated_responses_s.json
10,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C,1.3,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.",[],Output\groups_generated_responses_s.json
11,C=CCOCC(CO)(COCC=C)COCC=C,CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C,1.3,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.",[],Output\groups_generated_responses_s.json
12,C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,O=C(O)CCCCC(=O)O,1.6,"Generate two monomers for a TSMP, ensuring one includes vinyl(C=C) groups and the other includes hydroxyl(=O) groups.",[],Output\groups_generated_responses_s.json
