Fixed Monomer 1,Fixed Monomer 2
Cc1cc(OCCOCC2CO2)ccc1OCCOCC4CO4,CC1(C)CC(N)CC(C)(CN)C1
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N
C1OC1COC3COC4C(OC2CO2)COC34,CC1(C)CC(N)CC(C)(CN)C1
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN
Cc1cc(OCCOCC2CO2)ccc1OCCOCC4CO4,CC1(C)N(CCN(C)CC)CC(C)C(=O)N1CCN(CC)CC
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CCC(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)N
CC(C)(c2ccc(OCCOCCOCCOC4CC4)cc2)c6ccc(OCCOCCOCCOC5CC5)cc6,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N
Cc3cc(C)c2cc(CC1CC1)oc2cc(C)c3C,CC(C)(c2ccc(NCC1CO1)cc2)c4ccc(NCC3CO3)cc4
Cc1cc3OCC(c2ccc(OCC3-Cc1)CC2)COC2CCC(CC2)C(=O)NCC(=O)OCC4CO4,NCCCOCCCOCCCN
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCCCCCCCCCCSCCCCCCCCCCC
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCC(CS)CC(CS)CC(CS)COC(=O)CC(=O)OCC(COCC(COCC(COCC1CO1)COCC2CO2)COCC3CO3)COC(=O)CC(=O)OCC(COCC(COCC4CO4)COCC5CO5)COCC6COC6
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)=O
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCCC(=O)OCCCCC
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,CCCC(COC(=O)CC)(COC(=O)CC)COC(=O)CC
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCC(CSCCC)(CSCCC)CSCCC
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCCCCCCCCCCSCCCCCCCCCCC
C=COC C  C  C  C  C  O  C  C (=O)  O  C  C  C  C  C  C  O  C  C  C  O  C  C  C  O  C  C  C  O  C  C  C  O,C(=O)OCC(=O)OCC1CO1
C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,CCC(CS)CC(CS)CC(CS)CC(CS)CCS
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C
c1ccc2c(c1)c3c(cc2)OCCOCC3OCC4CO4,CC(CS)CC(CS)CC(CS)COC(=O)CC(=O)OCC
C=C(CC=C)OCCn1c(=O)n(CCOC(=O)CC=C)c(=O)n(CCOC(=O)CC=C)c(=O)n1CCOC(=O)CC=C,CCC(CCS)(CCS)CCS
C=C(C)C(=O)OCC(O)(COC(=O)C(=C)C)COC(=O)C(=C)C,CCCCCCCCCSCCCCCCCS
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,CC(CC1CCCCC1)(CC1CCCCC1)CC1CCCCC1
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,CC(O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)(CC1CCCCC1)CC1CCCCC1
C=C(C)C(=C)OCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(O)C(C)(C)CC
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS(=O)(=O)N)OCC(COC(=O)NCCS(=O)(=O)C(C)=O)(COC(=O)NCCS(=O)(=O)C(C)=O)COC(=O)NCCS(=O)(=O)C(C)=O
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC
C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CCOC(=O)NCCN(C)CCOC(=O)C=C
C=C(C)C(=C)OCOC(=C)C,C=C(C)C(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O
C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O
C=CCOC(CC)(CO)CO,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=C)OCCOCCOC(=O)C(=C)C
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=Cc1cccc(C=C)c1
C=C(C)C(=C)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CCOC(=O)CCCCCCOC(=O)CC=C
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,CC(COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(COCCOCCOC(O)C(C)(C)C)OCC(OCC(C)OCC(OCC1CO1)OCC(OCC1CO1)OCC(OCC1CO1)OCC(OCC(C)OCC(OCC1CO1)OCC(OCC1CO1)OCC(OCC1CO1)OCC1CO1)OCC1CO1)OCC1CO1)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC1CO1
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(CC1=CC=CC=C1CC=C(CC2=CC=CC=C2)OCC3=CC=CC=C3)OCC4=CC=CC=C4
CC(=C)C(=C)OCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CC(=C)C(=C)C,CC(=C)OC(=O)CCSC(=O)NCC(C)=O
C=CCc1ccccc1OCC(O)COc2ccccc2Cc3ccc(OCC4CO4)cc3,C=CCc1ccccc1OCC2(CC2COC(C=C)CC1(C=C)COC1(C=C)CC2(C=C)OCC2(C=C)COC3(C=C)CC3)COC4(C=C)CC4
CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=CC(=C)C(=C)OCOCCOC(=O)C(=C)C(=C)C,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C)CO,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC
CC(C)(C)c2ccc(OCC1CO1)cc2,CC(C)(C)N
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CC1COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(O)COC(O)NCCC(C)(CNC(O)OCC(CCS(O)(O)O)COC(O)COC(C)CCS(O)(O)O)OC1
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=O
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=C)OCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCCCCCOCC(=O)C(=C)C
C=C(C)C(=O)OCC(O)(COC(=O)C(=C)C(C)(C)C)COC(=O)C(=C)C(C)(C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=C)OCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCC
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(CCS(=O)(=O)CCN)OCC(COc2ccc(OCC(C)OCC1CO1)cc2)OCC3CO3
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(CCS)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)C(=C)C,CC(C)(C)C(=O)OCC(O)COc1ccc(C(=O)OCC(C)(C)C)c(OC(=O)CC(C)(C)C)c1
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)C(=O),OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2,CC(C)(C)C(=O)OCC(O)COC(=O)CC(C)(C)C
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,CC(C)(CCl)OC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCO
C=C(C)C(=C)OCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
